City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Kaliwungu,ID,75.43,broken clouds,-6.9615,110.2531,RedDoorz near Alun Alun Kaliwungu Kendal
520,Sidi Ali,DZ,78.66,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
523,Padang,ID,77.27,overcast clouds,-0.9492,100.3543,Mercure Padang
524,Manggar,ID,81.12,overcast clouds,-2.8833,108.2667,Guest Hotel
527,Broome,US,82.18,broken clouds,42.2506,-75.833,Chenango Valley State Park
529,Kudahuvadhoo,MV,81.46,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
536,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
537,Nantucket,US,75.96,mist,41.2835,-70.0995,Jared Coffin House
540,Tateyama,JP,80.62,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
543,Omboue,GA,76.3,broken clouds,-1.5746,9.2618,Hotel Olako
548,Shelburne,CA,83.05,clear sky,44.0787,-80.2041,The Retreat at the Farm
550,Limbang,MY,79.11,broken clouds,4.75,115.0,Purnama Hotel
552,Shahr-E Babak,IR,78.42,broken clouds,30.1165,55.1186,Duna Ecolodge
554,Semnan,IR,78.6,broken clouds,35.5729,53.3971,Semnan Tourist Hotel
559,Pemangkat,ID,77.68,overcast clouds,1.1667,108.9667,Ramah Kost KITA
560,Tweed,CA,82.85,clear sky,44.4751,-77.3162,Stoco Lake Lodge
