City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Merauke,ID,-8.4667,140.3333,73.87,86,96,9.82,overcast clouds
129,Arkhipo-Osipovka,RU,44.37,38.52,77.02,62,0,4.41,clear sky
130,Kodiak,US,57.79,-152.4072,58.51,82,90,6.91,light rain
131,Gunjur,GM,13.2019,-16.7339,82.47,83,75,9.22,broken clouds
132,Lavrentiya,RU,65.5833,-171.0,52.75,94,100,3.18,moderate rain
133,Shenjiamen,CN,29.9576,122.298,79.32,91,23,8.08,few clouds
134,Sirpur,IN,19.4833,79.6,77.58,88,100,4.12,overcast clouds
135,Qaanaaq,GL,77.484,-69.3632,46.98,60,33,2.1,scattered clouds
136,Juneau,US,58.3019,-134.4197,65.84,84,75,3.0,light rain
137,Beidao,CN,34.5686,105.8933,62.53,74,100,2.28,overcast clouds
138,Taoudenni,ML,22.6783,-3.9836,109.09,9,5,9.89,clear sky
139,Koumac,NC,-20.5667,164.2833,67.12,68,84,13.49,broken clouds
140,Muros,ES,42.7762,-9.0603,66.24,87,91,5.21,overcast clouds
141,Thompson,CA,55.7435,-97.8558,64.56,42,75,10.36,smoke
142,Mahebourg,MU,-20.4081,57.7,70.09,64,75,9.22,light rain
143,Sarangani,PH,5.4033,125.4636,83.75,76,99,4.34,overcast clouds
144,Harwich,GB,51.9419,1.2844,63.5,96,100,11.01,light rain
145,Mount Isa,AU,-20.7333,139.5,46.17,46,9,3.44,clear sky
146,Urusha,RU,54.05,122.9,55.74,98,100,1.61,overcast clouds
147,Samarai,PG,-10.6167,150.6667,77.34,72,99,15.82,overcast clouds
148,Igarka,RU,67.4667,86.5833,62.13,61,20,6.08,few clouds
149,Tautira,PF,-17.7333,-149.15,80.62,78,84,13.35,broken clouds
150,Bengkulu,ID,-3.8004,102.2655,75.27,90,96,3.67,overcast clouds
151,Paracuru,BR,-3.41,-39.0306,84.22,67,41,14.09,scattered clouds
152,Asau,RO,46.4333,26.4,76.28,63,98,3.49,light rain
153,Kutum,SD,14.2,24.6667,79.5,51,38,13.8,scattered clouds
154,Saint Anthony,US,45.0205,-93.218,84.88,63,20,5.01,few clouds
155,Puerto Ayora,EC,-0.7393,-90.3518,80.56,85,87,5.01,overcast clouds
156,Kisangani,CD,0.5167,25.2,74.03,80,12,2.04,light rain
157,Anadyr,RU,64.75,177.4833,46.9,93,40,8.01,scattered clouds
158,Dwarka,IN,22.2394,68.9678,81.43,80,100,16.78,overcast clouds
159,Paamiut,GL,61.994,-49.6678,44.82,95,100,32.01,moderate rain
160,Nelson Bay,AU,-32.7167,152.15,48.96,72,0,16.64,clear sky
161,Dunedin,NZ,-45.8742,170.5036,47.8,90,62,4.0,broken clouds
162,La Palma,US,33.8464,-118.0467,109.81,62,20,7.0,few clouds
163,Carnarvon,AU,-24.8667,113.6333,51.87,33,0,11.5,clear sky
164,Ponta Do Sol,PT,32.6667,-17.1,75.7,83,29,1.5,scattered clouds
165,Saskylakh,RU,71.9167,114.0833,48.2,69,12,6.24,few clouds
166,Meulaboh,ID,4.1363,96.1285,76.62,83,100,3.91,overcast clouds
167,Port Alfred,ZA,-33.5906,26.891,62.26,92,7,5.44,clear sky
168,Coahuayana,MX,18.7333,-103.6833,80.08,78,100,3.22,overcast clouds
169,Galautas,RO,46.9167,25.4333,60.21,93,36,3.65,scattered clouds
170,Tulum,MX,20.2167,-87.4667,89.65,54,18,7.36,few clouds
171,Brindisi,IT,40.5833,17.6667,82.44,32,99,13.6,overcast clouds
172,Sao Filipe,CV,14.8961,-24.4956,78.8,89,100,6.71,overcast clouds
173,Berdigestyakh,RU,62.0989,126.6992,53.67,51,9,4.9,clear sky
174,Sept-Iles,CA,50.2001,-66.3821,64.92,82,90,4.0,overcast clouds
175,Dalbandin,PK,28.8947,64.4101,90.03,11,0,12.3,clear sky
176,Tarsus,TR,36.9188,34.8784,84.07,82,16,4.5,few clouds
177,Pevek,RU,69.7008,170.3133,37.71,97,100,4.43,overcast clouds
178,Pirassununga,BR,-21.9961,-47.4258,76.66,31,0,6.91,clear sky
179,Formosa Do Rio Preto,BR,-11.0483,-45.1931,85.89,24,19,8.23,few clouds
180,Praia Da Vitoria,PT,38.7333,-27.0667,80.85,78,40,12.77,scattered clouds
181,Airai,TL,-8.9266,125.4092,54.57,64,94,3.94,overcast clouds
182,Port-Gentil,GA,-0.7193,8.7815,78.76,78,75,11.5,broken clouds
183,Port Hardy,CA,50.6996,-127.4199,60.98,88,90,12.66,light rain
184,Karratha,AU,-20.7377,116.8463,67.48,29,16,17.49,few clouds
185,Tommot,RU,58.9564,126.2925,58.06,83,100,3.47,overcast clouds
186,Miraflores,MX,19.2167,-98.8083,72.25,77,100,1.7,overcast clouds
187,Guerrero Negro,MX,27.9769,-114.0611,82.27,54,20,10.45,few clouds
188,Norman Wells,CA,65.282,-126.8329,62.64,67,75,12.66,smoke
189,Shimoda,JP,34.6667,138.95,77.11,88,44,10.27,scattered clouds
190,Kisanga,TZ,-7.4362,37.7034,75.69,62,92,5.37,overcast clouds
191,Belmonte,BR,-15.8631,-38.8828,73.4,78,100,12.44,overcast clouds
192,Novyy Urengoy,RU,66.0833,76.6333,64.36,66,3,4.59,clear sky
193,Arawa,PG,-6.2132,155.5367,75.83,92,97,4.56,overcast clouds
194,Marawi,PH,7.9986,124.2928,66.65,82,73,4.05,broken clouds
195,Souillac,MU,-20.5167,57.5167,70.18,64,75,9.22,broken clouds
196,Quatre Cocos,MU,-20.2078,57.7625,69.91,70,90,14.25,overcast clouds
197,Les Cayes,HT,18.2,-73.75,86.32,63,22,11.52,few clouds
198,Chifeng,CN,42.2683,118.9636,65.21,73,12,4.9,few clouds
199,Sancti Spiritus,CU,21.9297,-79.4425,89.46,57,49,5.37,scattered clouds
200,Salalah,OM,17.0151,54.0924,78.89,94,90,6.91,overcast clouds
201,Kysyl-Syr,RU,63.8986,122.7617,53.01,49,0,6.62,clear sky
202,Myatlevo,RU,54.8969,35.6762,60.75,87,95,5.06,overcast clouds
203,Labrea,BR,-7.2586,-64.7981,98.83,20,94,3.33,overcast clouds
204,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,78,91,9.51,overcast clouds
205,Grigiskes,LT,54.6833,25.0833,60.1,85,0,9.22,clear sky
206,Flinders,AU,-34.5833,150.8552,51.08,75,0,8.14,clear sky
207,Baijiantan,CN,45.6333,85.1833,75.13,44,0,0.87,clear sky
208,Newport,GB,51.5877,-2.9984,62.85,92,61,9.89,light rain
209,Tiksi,RU,71.6872,128.8694,41.34,86,100,9.53,overcast clouds
210,Kalengwa,ZM,-13.4659,25.0027,57.04,25,0,4.99,clear sky
211,Sola,VU,-13.8833,167.55,77.83,75,28,2.91,scattered clouds
212,Buchanan,LR,5.8808,-10.0467,76.96,79,100,11.1,overcast clouds
213,Nabire,ID,-3.3667,135.4833,75.04,88,64,3.94,broken clouds
214,Port Moresby,PG,-9.4431,147.1797,74.62,78,40,11.5,scattered clouds
215,Mount Gambier,AU,-37.8333,140.7667,49.91,87,90,9.22,overcast clouds
216,Caravelas,BR,-17.7125,-39.2481,71.51,70,99,10.87,overcast clouds
217,Esperance,AU,-33.8667,121.9,49.84,82,0,10.51,clear sky
218,Novikovo,RU,51.1537,37.8879,70.43,52,100,4.88,light rain
219,Vrangel,RU,42.7297,133.0839,73.31,97,32,1.36,scattered clouds
220,Nome,US,64.5011,-165.4064,63.16,77,40,21.85,scattered clouds
221,Youghal,IE,51.95,-7.8506,61.02,100,11,13.56,few clouds
222,Sioux Lookout,CA,50.1001,-91.917,64.78,94,90,5.75,mist
223,Yining,CN,29.0361,114.5636,77.2,97,46,2.15,scattered clouds
224,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,30,0,21.85,clear sky
225,Bonavista,CA,48.6499,-53.1147,80.6,63,74,11.65,broken clouds
226,Eydhafushi,MV,5.1033,73.0708,82.56,76,88,10.45,overcast clouds
227,Nemuro,JP,43.3236,145.575,68.56,96,71,3.29,broken clouds
